UID,Abrev,County_State_Key
84001001,AL,Autauga AL
84001003,AL,Baldwin AL
84001005,AL,Barbour AL
84001007,AL,Bibb AL
84001009,AL,Blount AL
84001011,AL,Bullock AL
84001013,AL,Butler AL
84001015,AL,Calhoun AL
84001017,AL,Chambers AL
84001019,AL,Cherokee AL
84001021,AL,Chilton AL
84001023,AL,Choctaw AL
84001025,AL,Clarke AL
84001027,AL,Clay AL
84001029,AL,Cleburne AL
84001031,AL,Coffee AL
84001033,AL,Colbert AL
84001035,AL,Conecuh AL
84001037,AL,Coosa AL
84001039,AL,Covington AL
84001041,AL,Crenshaw AL
84001043,AL,Cullman AL
84001045,AL,Dale AL
84001047,AL,Dallas AL
84001049,AL,DeKalb AL
84001051,AL,Elmore AL
84001053,AL,Escambia AL
84001055,AL,Etowah AL
84001057,AL,Fayette AL
84001059,AL,Franklin AL
84001061,AL,Geneva AL
84001063,AL,Greene AL
84001065,AL,Hale AL
84001067,AL,Henry AL
84001069,AL,Houston AL
84001071,AL,Jackson AL
84001073,AL,Jefferson AL
84001075,AL,Lamar AL
84001077,AL,Lauderdale AL
84001079,AL,Lawrence AL
84001081,AL,Lee AL
84001083,AL,Limestone AL
84001085,AL,Lowndes AL
84001087,AL,Macon AL
84001089,AL,Madison AL
84001091,AL,Marengo AL
84001093,AL,Marion AL
84001095,AL,Marshall AL
84001097,AL,Mobile AL
84001099,AL,Monroe AL
84001101,AL,Montgomery AL
84001103,AL,Morgan AL
84080001,AL,Out of AL AL
84001105,AL,Perry AL
84001107,AL,Pickens AL
84001109,AL,Pike AL
84001111,AL,Randolph AL
84001113,AL,Russell AL
84001117,AL,Shelby AL
84001115,AL,St. Clair AL
84001119,AL,Sumter AL
84001121,AL,Talladega AL
84001123,AL,Tallapoosa AL
84001125,AL,Tuscaloosa AL
84001127,AL,Walker AL
84001129,AL,Washington AL
84001131,AL,Wilcox AL
84001133,AL,Winston AL
84002013,AK,Aleutians East AK
84002016,AK,Aleutians West AK
84002020,AK,Anchorage AK
84002050,AK,Bethel AK
84002060,AK,Bristol Bay AK
84002164,AK,Bristol Bay plus Lake and Peninsula AK
84002063,AK,Chugach AK
84002066,AK,Copper River AK
84002068,AK,Denali AK
84002070,AK,Dillingham AK
84002090,AK,Fairbanks North Star AK
84002100,AK,Haines AK
84002105,AK,Hoonah-Angoon AK
84002110,AK,Juneau AK
84002122,AK,Kenai Peninsula AK
84002130,AK,Ketchikan Gateway AK
84002150,AK,Kodiak Island AK
84002158,AK,Kusilvak AK
84002170,AK,Matanuska-Susitna AK
84002180,AK,Nome AK
84002185,AK,North Slope AK
84002188,AK,Northwest Arctic AK
84080002,AK,Out of AK AK
84002195,AK,Petersburg AK
84002198,AK,Prince of Wales-Hyder AK
84002220,AK,Sitka AK
84002230,AK,Skagway AK
84002240,AK,Southeast Fairbanks AK
84002261,AK,Valdez-Cordova AK
84002275,AK,Wrangell AK
84002282,AK,Yakutat AK
84002290,AK,Yukon-Koyukuk AK
84004001,AZ,Apache AZ
84004003,AZ,Cochise AZ
84004005,AZ,Coconino AZ
84004007,AZ,Gila AZ
84004009,AZ,Graham AZ
84004011,AZ,Greenlee AZ
84004012,AZ,La Paz AZ
84004013,AZ,Maricopa AZ
84004015,AZ,Mohave AZ
84004017,AZ,Navajo AZ
84080004,AZ,Out of AZ AZ
84004019,AZ,Pima AZ
84004021,AZ,Pinal AZ
84004023,AZ,Santa Cruz AZ
84004025,AZ,Yavapai AZ
84004027,AZ,Yuma AZ
84005001,AR,Arkansas AR
84005003,AR,Ashley AR
84005005,AR,Baxter AR
84005007,AR,Benton AR
84005009,AR,Boone AR
84005011,AR,Bradley AR
84005013,AR,Calhoun AR
84005015,AR,Carroll AR
84005017,AR,Chicot AR
84005019,AR,Clark AR
84005021,AR,Clay AR
84005023,AR,Cleburne AR
84005025,AR,Cleveland AR
84005027,AR,Columbia AR
84005029,AR,Conway AR
84005031,AR,Craighead AR
84005033,AR,Crawford AR
84005035,AR,Crittenden AR
84005037,AR,Cross AR
84005039,AR,Dallas AR
84005041,AR,Desha AR
84005043,AR,Drew AR
84005045,AR,Faulkner AR
84005047,AR,Franklin AR
84005049,AR,Fulton AR
84005051,AR,Garland AR
84005053,AR,Grant AR
84005055,AR,Greene AR
84005057,AR,Hempstead AR
84005059,AR,Hot Spring AR
84005061,AR,Howard AR
84005063,AR,Independence AR
84005065,AR,Izard AR
84005067,AR,Jackson AR
84005069,AR,Jefferson AR
84005071,AR,Johnson AR
84005073,AR,Lafayette AR
84005075,AR,Lawrence AR
84005077,AR,Lee AR
84005079,AR,Lincoln AR
84005081,AR,Little River AR
84005083,AR,Logan AR
84005085,AR,Lonoke AR
84005087,AR,Madison AR
84005089,AR,Marion AR
84005091,AR,Miller AR
84005093,AR,Mississippi AR
84005095,AR,Monroe AR
84005097,AR,Montgomery AR
84005099,AR,Nevada AR
84005101,AR,Newton AR
84005103,AR,Ouachita AR
84080005,AR,Out of AR AR
84005105,AR,Perry AR
84005107,AR,Phillips AR
84005109,AR,Pike AR
84005111,AR,Poinsett AR
84005113,AR,Polk AR
84005115,AR,Pope AR
84005117,AR,Prairie AR
84005119,AR,Pulaski AR
84005121,AR,Randolph AR
84005125,AR,Saline AR
84005127,AR,Scott AR
84005129,AR,Searcy AR
84005131,AR,Sebastian AR
84005133,AR,Sevier AR
84005135,AR,Sharp AR
84005123,AR,St. Francis AR
84005137,AR,Stone AR
84005139,AR,Union AR
84005141,AR,Van Buren AR
84005143,AR,Washington AR
84005145,AR,White AR
84005147,AR,Woodruff AR
84005149,AR,Yell AR
84006001,CA,Alameda CA
84006003,CA,Alpine CA
84006005,CA,Amador CA
84006007,CA,Butte CA
84006009,CA,Calaveras CA
84006011,CA,Colusa CA
84006013,CA,Contra Costa CA
84006015,CA,Del Norte CA
84006017,CA,El Dorado CA
84006019,CA,Fresno CA
84006021,CA,Glenn CA
