total_cases,id,county_type,State
1475427,Autauga AL,3,0
4551323,Baldwin AL,4,0
545512,Barbour AL,6,0
576122,Bibb AL,2,0
1436115,Blount AL,2,0
321006,Bullock AL,6,0
550774,Butler AL,6,0
3075610,Calhoun AL,4,0
853625,Chambers AL,5,0
427397,Cherokee AL,6,0
978977,Chilton AL,2,0
172589,Choctaw AL,6,0
801918,Clarke AL,6,0
360252,Clay AL,6,0
324479,Cleburne AL,6,0
1206973,Coffee AL,5,0
1424098,Colbert AL,4,0
286041,Conecuh AL,6,0
200405,Coosa AL,5,0
960474,Covington AL,6,0
349556,Crenshaw AL,6,0
2076222,Cullman AL,5,0
1088039,Dale AL,5,0
939269,Dallas AL,5,0
2065133,DeKalb AL,6,0
2196308,Elmore AL,3,0
936706,Escambia AL,6,0
3065223,Etowah AL,4,0
449931,Fayette AL,6,0
1081284,Franklin AL,6,0
547842,Geneva AL,4,0
221645,Greene AL,6,0
505548,Hale AL,4,0
421836,Henry AL,4,0
2357347,Houston AL,4,0
1508187,Jackson AL,5,0
16821740,Jefferson AL,1,0
315151,Lamar AL,6,0
1976242,Lauderdale AL,4,0
641514,Lawrence AL,4,0
3643019,Lee AL,4,0
2136079,Limestone AL,3,0
368437,Lowndes AL,3,0
355058,Macon AL,6,0
7296592,Madison AL,3,0
579507,Marengo AL,6,0
695786,Marion AL,6,0
2871859,Marshall AL,5,0
9198224,Mobile AL,3,0
407478,Monroe AL,6,0
5781599,Montgomery AL,3,0
3183588,Morgan AL,4,0
286239,Perry AL,6,0
539258,Pickens AL,4,0
735321,Pike AL,5,0
428972,Randolph AL,6,0
1040433,Russell AL,3,0
5164289,Shelby AL,2,0
2081191,St. Clair AL,2,0
272562,Sumter AL,6,0
1760081,Talladega AL,5,0
899187,Tallapoosa AL,6,0
5864677,Tuscaloosa AL,4,0
1672382,Walker AL,2,0
393320,Washington AL,6,0
318559,Wilcox AL,6,0
612863,Winston AL,6,0
2656913,Apache AZ,6,0
2413934,Cochise AZ,4,0
3853996,Coconino AZ,4,0
1441202,Gila AZ,5,0
1124682,Graham AZ,5,0
117066,Greenlee AZ,6,0
532250,La Paz AZ,6,0
117698446,Maricopa AZ,1,0
4532298,Mohave AZ,4,0
3990180,Navajo AZ,5,0
24187441,Pima AZ,3,0
10473169,Pinal AZ,2,0
1947658,Santa Cruz AZ,5,0
3707911,Yavapai AZ,4,0
8951948,Yuma AZ,4,0
439649,Arkansas AR,6,0
416485,Ashley AR,6,0
623409,Baxter AR,5,0
6208036,Benton AR,3,0
790867,Boone AR,5,0
295811,Bradley AR,6,0
78242,Calhoun AR,5,0
626018,Carroll AR,6,0
445690,Chicot AR,6,0
434530,Clark AR,5,0
375351,Clay AR,6,0
412756,Cleburne AR,6,0
195994,Cleveland AR,4,0
492158,Columbia AR,5,0
437394,Conway AR,6,0
2951039,Craighead AR,4,0
1479723,Crawford AR,3,0
1421854,Crittenden AR,2,0
423344,Cross AR,6,0
157093,Dallas AR,6,0
293752,Desha AR,6,0
421575,Drew AR,6,0
2584231,Faulkner AR,3,0
353495,Franklin AR,6,0
236807,Fulton AR,6,0
2065627,Garland AR,4,0
335131,Grant AR,3,0
1282115,Greene AR,5,0
414962,Hempstead AR,6,0
1222535,Hot Spring AR,5,0
368169,Howard AR,6,0
852131,Independence AR,5,0
364068,Izard AR,6,0
693156,Jackson AR,6,0
2118403,Jefferson AR,4,0
649256,Johnson AR,6,0
115351,Lafayette AR,6,0
470555,Lawrence AR,6,0
491614,Lee AR,6,0
961746,Lincoln AR,4,0
271959,Little River AR,4,0
468221,Logan AR,6,0
1448951,Lonoke AR,3,0
324464,Madison AR,3,0
201969,Marion AR,6,0
907103,Miller AR,4,0
1331143,Mississippi AR,5,0
172316,Monroe AR,6,0
155013,Montgomery AR,6,0
187955,Nevada AR,6,0
165468,Newton AR,5,0
447394,Ouachita AR,5,0
160986,Perry AR,3,0
409027,Phillips AR,5,0
211491,Pike AR,6,0
695501,Poinsett AR,4,0
400527,Polk AR,6,0
1776716,Pope AR,5,0
183857,Prairie AR,6,0
8403578,Pulaski AR,3,0
450428,Randolph AR,6,0
2464548,Saline AR,3,0
190197,Scott AR,6,0
146165,Searcy AR,6,0
3282487,Sebastian AR,3,0
713319,Sevier AR,6,0
332011,Sharp AR,6,0
926956,St. Francis AR,5,0
224034,Stone AR,6,0
839152,Union AR,5,0
252324,Van Buren AR,6,0
7062072,Washington AR,3,0
1548636,White AR,5,0
123567,Woodruff AR,6,0
825184,Yell AR,5,0
18294594,Alameda CA,1,0
17797,Alpine CA,6,0
690105,Amador CA,6,0
2437108,Butte CA,4,0
401813,Calaveras CA,6,0
462986,Colusa CA,6,0
14210363,Contra Costa CA,2,0
240359,Del Norte CA,5,0
1897324,El Dorado CA,2,0
21874809,Fresno CA,3,0
503581,Glenn CA,6,0
707212,Humboldt CA,5,0
7188132,Imperial CA,4,0
262979,Inyo CA,6,0
23695784,Kern CA,3,0
5296394,Kings CA,4,0
660762,Lake CA,5,0
1186968,Lassen CA,5,0
263048765,Los Angeles CA,1,0
3505373,Madera CA,4,0
3533771,Marin CA,2,0
87749,Mariposa CA,6,0
844434,Mendocino CA,5,0
6708892,Merced CA,3,0
92691,Modoc CA,6,0
267322,Mono CA,6,0
9151266,Monterey CA,3,0
1953037,Napa CA,4,0
864148,Nevada CA,5,0
57600635,Orange CA,1,0
4390305,Placer CA,2,0
136601,Plumas CA,6,0
