total_cases,id,county_type,State
504470,Adams WA,5,0
281312,Asotin WA,4,0
3768155,Benton WA,3,0
1509315,Chelan WA,4,0
239321,Clallam WA,5,0
4451321,Clark WA,2,0
24427,Columbia WA,4,0
1003468,Cowlitz WA,4,0
830358,Douglas WA,4,0
54425,Ferry WA,6,0
2905934,Franklin WA,3,0
24906,Garfield WA,6,0
1946078,Grant WA,5,0
734548,Grays Harbor WA,5,0
344380,Island WA,5,0
81558,Jefferson WA,6,0
21659622,King WA,1,0
1425512,Kitsap WA,3,0
568946,Kittitas WA,5,0
160804,Klickitat WA,6,0
829617,Lewis WA,5,0
86843,Lincoln WA,6,0
515846,Mason WA,5,0
589198,Okanogan WA,6,0
164930,Pacific WA,6,0
140678,Pend Oreille WA,3,0
9504847,Pierce WA,2,0
32366,San Juan WA,6,0
1129832,Skagit WA,4,0
63711,Skamania WA,2,0
7591443,Snohomish WA,2,0
8419093,Spokane WA,3,0
377151,Stevens WA,3,0
1711018,Thurston WA,3,0
19980,Wahkiakum WA,6,0
1056201,Walla Walla WA,4,0
1596203,Whatcom WA,4,0
871882,Whitman WA,5,0
7221401,Yakima WA,4,0
84441100,WA,0,1
